Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
Bermuda,2015,30.6948,44.3101,,1.6897,"5,891","95,006",,4.147,4.04,0.973
Bermuda,2017,32.1581,44.3947,16.9849,1.492,"6,269","102,192",0.0613,,,
Bhutan,2005,22.3168,50.9436,14.0684,7.0781,819,"1,247",0.6487,99.458,42.144,3.553
Bhutan,2010,29.9332,53.8765,15.1107,4.0245,"1,585","2,179",0.6855,110.369,60.036,5.499
Bhutan,2014,31.9708,55.6776,10.3284,5.9033,,,,101.667,74.227,
Bolivia (Plurin. State of),2000,40.4813,18.468,28.851,5.4734,,,,,,
Bolivia (Plurin. State of),2003,44.1273,24.3153,21.6127,6.379,,,,,,
Bolivia (Plurin. State of),2009,40.5018,25.9964,29.7409,8.0812,,,,,,
Bolivia (Plurin. State of),2010,39.4174,26.2899,29.861,7.6001,"19,650","1,981",10.0486,"1,429.08","1,058.26",
Bolivia (Plurin. State of),2014,41.6101,27.0976,26.2225,7.2854,,,,"1,346.17","1,131.63",
Botswana,2005,30.0308,39.6159,27.8669,10.6786,"9,931","5,351",1.7991,329.191,173.027,19.655
Botswana,2009,17.8223,32.6955,41.5094,9.6329,,,,330.775,,47.889
Brazil,2005,34.0156,38.7885,18.995,4.4791,"891,634","4,770",186.1271,"18,661.11","24,863.11","4,572.30"
Brazil,2010,31.326,44.6649,16.3982,5.6488,"2,208,838","11,224",195.7136,"16,893.49","23,538.72","6,552.71"
Brazil,2011,29.2856,45.118,16.7634,5.7374,,,,,,
Brazil,2015,25.6151,41.3708,21.454,6.2411,"1,802,212","8,750",,"16,299.17","23,501.78","8,285.48"
British Virgin Islands,2005,33.7486,31.2194,34.2308,3.5497,853,"36,802",0.0232,2.898,1.882,
British Virgin Islands,2007,28.442,37.7467,33.1133,3.6728,,,,,,
British Virgin Islands,2010,34.0679,33.9873,,4.4478,876,"32,183",0.0272,3.201,2.029,
British Virgin Islands,2015,16.5641,19.0398,22.1194,6.3173,955,"31,698",,3.358,2.027,0.827
British Virgin Islands,2017,29.8569,35.0716,35.0716,,996,"31,917",0.0312,3.334,2.255,
Brunei Darussalam,2010,28.541,46.7816,24.3798,2.0466,"13,707","35,267",0.3886,44.215,48.724,5.776
Brunei Darussalam,2016,19.5228,60.8444,18.8945,4.4254,"11,400","26,939",,,,
Bulgaria,2005,20.3,45.9355,16.8597,4.1411,"29,636","3,857",7.687,290.017,685.64,237.909
Bulgaria,2010,19.5875,42.9761,14.8077,3.8635,"50,610","6,835",7.425,260.34,531.98,287.086
Bulgaria,2013,19.6964,38.9119,15.9161,4.062,,,,,,
Burkina Faso,2005,71.181,10.3247,9.5753,4.4326,"5,463",407,13.4219,"1,270.84",295.412,27.942
Burkina Faso,2007,67.0338,15.7194,15.2019,4.5886,,,,,,
Burkina Faso,2010,60.3412,18.0019,18.8408,3.939,"8,980",575,15.6052,"2,047.63",537.988,51.166
Burkina Faso,2015,57.868,22.0908,13.6521,4.1661,"10,416",575,,"2,706.80",965.55,83.598
Burundi,2004,50.6576,29.4529,18.2829,3.745,,,,,,
Burundi,2005,51.5574,33.1097,15.3076,3.6317,"1,117",150,7.3649,"1,036.86",171.11,16.915
Burundi,2010,45.4176,27.9172,18.0336,6.7929,"2,032",232,8.6756,"1,849.86",337.577,29.269
Burundi,2012,43.9956,24.2159,20.579,5.8209,,,,,,
Burundi,2013,45.43,26.8172,24.2337,5.4148,,,,,,
Cabo Verde,2002,43.8118,29.8449,17.5131,7.8768,,,,,,
Cabo Verde,2008,36.3238,36.5733,11.2739,5.518,,,,,,
Cabo Verde,2009,44.0823,32.9578,13.9666,5.309,,,,,,
Cabo Verde,2016,39.0845,40.8465,17.6412,5.3665,"1,663","3,082",,,,
Cabo Verde,2017,38.0945,39.9285,17.1511,5.2247,"1,773","3,245",0.5375,63.582,56.469,12.446
Cambodia,2001,74.3632,11.2427,,1.7222,,,,,,
Cambodia,2002,64.5683,,,1.7112,,,,,,
Cambodia,2010,49.9629,42.4684,5.8467,1.5338,"11,242",786,14.3122,"2,272.53",,195.166
Cambodia,2012,49.2463,44.0898,,1.5609,,,,,,
Cambodia,2013,49.7035,41.5395,6.1,2.0505,,,,,,
Cambodia,2014,48.4539,44.0513,,1.9094,,,,"2,128.69",,
Cameroon,2005,35.0643,51.9921,12.6433,2.8872,"17,944","1,030",17.7334,"2,977.78",784.203,99.864
Cameroon,2010,34.1618,52.739,9.0428,2.9937,"26,144","1,309",20.3412,"3,510.40",,220.331
Cameroon,2012,36.1927,52.5531,7.7698,2.6972,,,,,,
Cameroon,2013,33.8793,,10.2072,2.768,,,,,,
Cayman Islands,2005,49.2591,49.5297,,1.7863,"3,042","62,559",0.0486,3.24,2.824,
Cayman Islands,2006,45.9737,54.0264,,1.9852,,,,,,
Central African Republic,2010,53.264,23.995,20.474,1.2046,"2,034",457,4.3868,636.871,,11.158
Chad,2005,45.7849,35.4848,18.7303,1.6948,"6,681",664,10.0966,"1,262.39",245.286,12.373
Chad,2010,51.6193,27.4058,19.7587,1.9819,"10,970",923,11.9521,"1,727.03",430.383,22.13
Chad,2011,40.6668,34.9489,16.284,2.2579,,,,,,
Chad,2012,46.7001,20.7276,30.2585,2.2062,,,,,,
Chile,2005,37.4076,38.9965,13.9658,3.2628,"122,965","7,615",16.1827,"1,720.95","1,630.10",663.694
Chile,2009,36.3868,35.2324,15.6017,4.2307,,,,,,
Chile,2010,31.7354,32.5325,22.33,4.1621,"218,538","12,860",17.0625,"1,546.54","1,518.22",987.643
Chile,2016,28.083,29.069,25.3955,5.3506,"250,036","13,961",,,,
"China, Hong Kong SAR",2005,23.107,33.8157,28.3558,4.1346,"181,569","26,593",6.7696,451.171,498.354,152.294
"China, Hong Kong SAR",2010,20.9306,35.5374,27.7782,3.51,"228,639","32,545",6.9663,348.549,508.269,264.761
"China, Hong Kong SAR",2012,18.6505,33.5788,32.7996,3.5096,,,,,,
"China, Hong Kong SAR",2017,21.6932,32.6556,28.4948,3.3097,"341,659","46,390",7.3063,352.469,357.158,300.2234
"China, Macao SAR",2000,24.8058,24.9723,28.3574,3.3409,,,,,,
"China, Macao SAR",2003,24.7961,,41.1093,2.7976,,,,,,
Colombia,2004,48.3245,35.6969,13.3083,4.0794,,,,,,
Colombia,2005,47.437,36.1277,13.814,3.995,"146,566","3,386",42.6477,"5,298.26","4,297.23","1,223.59"
Colombia,2010,35.9216,34.8202,22.1054,4.8262,"287,018","6,251",45.2227,"5,084.97","5,079.73","1,674.42"
Colombia,2017,36.4018,38.7286,18.4707,4.3997,"309,191","6,302",48.9098,"4,351.71","4,784.85","2,446.31"
Comoros,2002,45.2147,40.1204,7.6689,3.8806,,,,,,
Comoros,2008,61.7259,23.6638,14.608,7.7099,,,,111.115,,
Comoros,2015,54.6121,27.6931,10.4117,4.3445,988,"1,271",,,,
Congo,2005,27.2544,41.1903,25.9124,1.8358,"6,350","1,708",3.6228,597.304,,
Congo,2010,30.9983,53.3317,10.8726,6.2208,"13,678","3,118",4.2737,705.093,,
Cook Islands,2000,50.6172,36.4775,,2.0706,,,,,,
Cook Islands,2013,40.3611,40.6087,7.6382,2.9624,,,,,,
Costa Rica,2004,45.4582,27.8271,18.7763,4.9122,,,,558.084,339.763,108.765
Costa Rica,2010,41.9041,31.5112,18.4177,6.6345,"37,269","8,199",4.5774,520.609,413.686,
Costa Rica,2017,28.9201,31.6943,23.6386,7.4323,"57,565","11,734",4.95,,,221.291
Côte d’Ivoire,2000,41.5583,32.6651,22.0427,3.7037,,,,,,
Côte d’Ivoire,2001,42.2146,,19.4233,3.6687,,,,,,
Côte d’Ivoire,2010,42.6642,33.098,22.2347,4.5535,,,,,,144.27
Côte d’Ivoire,2015,41.4065,34.1987,21.4443,4.8299,,,,"3,370.56","1,587.35",192.689
Cuba,2005,30.3133,37.6685,22.0605,10.5578,"42,644","3,779",11.2616,895.045,937.493,471.858
Cuba,2007,30.1388,36.0189,25.1173,11.8682,,,,,,
Cuba,2010,29.035,29.1078,,12.8373,"64,328","5,676",11.2258,852.744,808.904,800.873
Curaçao,2013,27.4655,33.929,5.2501,4.931,,,,20.812,11.219,2.196
Cyprus,2005,27.305,44.8852,22.8609,6.196,"18,967","25,682",1.0277,61.247,64.293,20.078
Cyprus,2010,31.0081,43.0116,20.4565,6.5803,"25,561","30,817",1.1126,54.806,63.662,32.233
Cyprus,2015,32.2075,41.3118,20.7041,6.3767,"19,681","23,236",,53.773,57.161,37.166
Czechia,2005,14.5215,51.3121,21.0137,3.8904,"136,281","13,285",10.2582,502.831,975.284,336.307
Czechia,2010,16.1766,45.7332,22.5344,4.0645,"207,478","19,692",10.5365,463.357,836.847,437.354
Czechia,2015,13.2809,29.8045,13.3279,5.7889,"186,830","17,619",,534.932,770.437,395.529
Dem. Rep. of the Congo,2010,33.3362,33.7344,23.9978,1.525,"21,566",334,64.5639,"10,572.42","3,484.46",
Dem. Rep. of the Congo,2013,61.5936,14.36,21.9535,2.0622,,,,"12,600.88","3,995.63",442.979
Denmark,2005,23.2601,36.3479,28.6779,8.0856,"264,467","48,779",5.4217,414.103,464.952,232.255
Denmark,2010,23.6835,34.519,27.3289,8.5596,"321,995","57,967",5.5548,403.344,504.205,240.536
Denmark,2013,24.8731,32.4174,26.8938,8.4944,,,,,,
Denmark,2014,27.2067,40.0023,30.6828,7.6349,,,,467.484,553.791,301.399
Djibouti,2007,19.0141,,,8.4063,,,,,,
Djibouti,2010,34.0865,37.2825,16.4995,4.4902,"1,015","1,192",0.8402,,,3.225
Dominica,2015,45.8287,43.3707,8.8625,3.3861,541,"7,392",,7.535,5.561,
Dominican Republic,2002,62.7693,,,1.914,,,,,,
Dominican Republic,2007,58.679,17.9537,14.535,2.0468,,,,,,
Ecuador,2000,38.2881,34.556,5.1601,1.1509,,,,,,
Ecuador,2010,32.3874,10.4359,35.7878,4.5074,"69,555","4,657",15.0111,"2,114.20","1,655.27",
Ecuador,2015,23.2552,12.1114,43.5137,4.9987,"99,290","6,150",,"1,998.14","1,932.35",669.437
El Salvador,2005,51.0002,29.0881,11.1496,3.1779,"14,698","2,438",6.0521,"1,045.48",524.202,122.431
El Salvador,2008,37.9914,22.0462,,4.4581,,,,,,
El Salvador,2010,42.6687,30.0947,12.2358,4.0481,"18,448","2,993",6.1839,939.726,577.111,150.012
El Salvador,2016,47.1806,35.2675,8.0268,3.8699,"23,912","3,769",,,,
El Salvador,2017,45.606,34.8912,9.3715,3.7513,"24,805","3,889",6.3881,678.137,535.68,186.067
Eritrea,2002,26.013,35.4122,14.889,3.5239,,,,,,
Eritrea,2004,23.0667,21.0942,31.8975,3.149,,,,374.997,194.124,4.612
Estonia,2002,28.0174,40.9439,19.7054,5.4687,,,,,,
Estonia,2004,25.7572,46.2611,17.3814,4.9118,,,,,,
Estonia,2005,25.2957,43.7171,18.9484,4.8449,"14,003","10,330",1.3556,85.539,124.493,67.76
Estonia,2010,24.5817,40.1288,21.7378,5.527,"19,503","14,640",1.3321,72.955,95.331,68.985
Estonia,2013,30.6962,29.4152,28.2268,4.8384,,,,,,
Estonia,2015,23.8619,25.8999,27.0437,5.2159,"22,567","17,157",,79.594,77.91,55.214
Eswatini,2005,39.8591,34.9195,23.9405,6.4846,"3,178","2,874",1.0306,221.596,70.964,5.897
Eswatini,2010,47.1645,35.5,16.5677,6.1184,"4,439","3,690",1.0648,241.237,88.619,
Eswatini,2014,50.7877,34.054,13.3328,7.1277,,,,240.437,97.229,
Ethiopia,2010,28.3953,25.0159,43.9366,4.4966,"26,311",300,87.64,"13,635.29","4,206.70",577.594
Ethiopia,2015,27.4527,18.1389,47.8522,4.7379,"63,079",632,,"16,198.05","5,028.68",
Fiji,2004,39.085,32.5986,15.8892,6.1649,,,,113.449,102.023,12.783
Fiji,2011,44.4127,15.9448,12.9569,4.1731,,,,,,
Fiji,2013,38.6039,,22.563,3.8829,,,,105.037,,
Finland,2005,20.7598,41.9344,31.8102,6.0361,"204,431","38,873",5.2589,381.785,430.596,305.996
Finland,2010,19.9068,42.4476,31.8473,6.5407,"247,800","46,181",5.3658,347.06,426.71,303.554
Finland,2015,20.2441,37.4682,26.6963,7.0918,"232,465","42,405",,355.231,540.067,302.478
France,2005,20.2075,47.1241,21.1015,5.5187,"2,196,071","34,724",61.1201,"4,015.49","6,036.19","2,187.38"
France,2010,20.3981,45.0327,22.6283,5.6925,"2,642,610","40,565",62.8795,"4,159.09","5,873.10","2,245.10"
France,2015,20.7152,43.4031,22.7907,5.4642,"2,438,208","36,574",,"4,255.99","5,982.87","2,424.16"
Gabon,2010,29.6186,28.2562,37.8439,3.0781,"14,359","8,754",1.6241,,,
Gabon,2014,29.2355,28.9388,37.826,2.6667,,,,,,
Gambia,2005,61.4463,23.0954,14.2694,1.1392,944,654,1.5437,205.347,,
Gambia,2010,65.3285,23.4011,9.8818,4.1561,"1,441",851,1.7932,229.013,124.397,3.312
Gambia,2012,59.9522,31.3587,7.3608,4.1012,,,,244.033,,5.001
Gambia,2014,55.1841,30.2313,14.5687,3.2918,,,,274.903,,
Georgia,2008,35.9998,36.9695,11.5767,2.9196,,,,311.265,305.388,129.926
Georgia,2012,34.3393,32.1288,19.1708,1.9833,,,,,,
Germany,2010,13.483,45.5476,27.1625,4.9137,"3,417,095","42,241",80.827,"3,067.52","7,663.76",
Germany,2015,12.9331,41.8547,25.9491,4.8134,"3,381,389","41,384",,"2,879.39","7,112.95","2,977.78"
Ghana,2005,39.4537,32.5161,22.0727,7.4221,"22,765","1,057",21.8146,"2,929.54","1,370.26",119.559
Ghana,2010,30.8666,37.1173,25.9484,5.5406,"42,587","1,737",24.7796,,,
Ghana,2014,21.6973,36.9819,18.2652,6.1598,,,,"4,117.15","2,265.69",402.142
Grenada,2003,36.384,35.7757,9.7668,3.9267,,,,,,
Grenada,2016,56.7574,23.3707,9.5731,10.2931,"1,062","9,892",,,,
Guatemala,2008,59.7898,12.8191,10.7965,3.1846,,,,,,
Guatemala,2010,55.5538,14.8155,11.3321,2.8031,"41,338","2,825",14.6304,"2,653.48","1,082.32",233.333
Guatemala,2017,56.4745,13.1436,13.222,2.7954,"75,620","4,471",16.915,"2,348.86","1,220.33",
Guinea,2010,38.9046,24.8582,36.2372,2.5512,"6,853",635,10.1922,"1,453.36",,98.528
Guinea,2017,40.5216,22.6965,36.6839,2.212,"10,208",803,12.0675,,,
Guinea-Bissau,2010,46.72,46.6663,5.0128,1.8608,849,546,1.5226,278.89,,
Guinea-Bissau,2013,64.4178,30.4441,3.8982,2.1325,,,,,,
Guyana,2004,32.1436,26.4802,6.2011,5.5262,,,,,,
Guyana,2010,29.06,33.4388,5.2937,3.6386,"2,259","3,026",0.7494,99.241,80.676,7.939
Guyana,2012,30.5554,33.2507,5.0622,3.1824,,,,94.488,85.934,8.857
Honduras,2013,48.9004,25.2904,18.4895,5.8749,,,,,,
Hungary,2005,20.0893,40.3856,18.8909,5.3284,"113,035","11,207",10.0859,430.561,960.215,436.012
Hungary,2010,17.8417,40.3003,20.1109,4.769,"130,923","13,187",9.9274,387.969,904.848,388.95
Hungary,2015,16.3961,38.0975,14.3328,4.5794,"123,074","12,579",,395.549,826.626,307.729
Iceland,2005,35.0258,33.6492,19.1299,7.4094,"16,813","56,996",0.295,30.785,33.323,15.169
Iceland,2010,32.3755,31.1504,21.4637,7.1741,"13,684","42,718",0.3203,29.568,35.623,18.051
Iceland,2015,28.628,28.1298,18.8888,7.7111,"17,344","52,519",,30.422,36.818,18.94
India,2005,35.5893,42.8884,19.555,3.2319,"823,612",720,1147.6099,,"89,461.79","11,777.30"
India,2010,25.2066,36.9852,36.0765,3.4235,"1,669,620","1,356",1234.2812,"138,413.84","107,686.87","20,740.74"
India,2013,28.4012,41.3529,28.5269,3.8447,,,,,,
Indonesia,2010,44.4457,24.3205,16.0536,2.8123,"755,094","3,113",241.8342,"30,341.82","19,975.92","5,001.05"
Indonesia,2014,43.6768,26.7993,15.0528,3.288,,,,"29,838.44","22,586.96","6,463.30"
Indonesia,2015,42.5999,26.9961,15.8002,3.5836,"860,854","3,335",,"29,699.77","23,756.32",
Iran (Islamic Republic of),2002,25.9467,36.3293,18.4577,4.4849,,,,,,
Iran (Islamic Republic of),2005,22.4395,34.6242,15.3587,4.0565,"226,452","3,216",69.7623,"6,206.72","9,066.41","2,126.27"
Iran (Islamic Republic of),2010,24.6808,49.1824,21.357,3.7092,"491,099","6,586",73.7625,"5,629.59","7,347.08","3,790.86"
Iran (Islamic Republic of),2017,30.1244,33.0383,32.6315,3.7904,"460,976","5,680",80.6739,"8,171.67","5,684.24",
Ireland,2005,33.6461,34.8333,23.3009,4.5221,"211,644","50,236",4.1412,454.06,317.337,186.561
Ireland,2010,35.3453,33.8131,22.2214,6.0434,"222,134","48,009",4.5543,506.4,336.464,194.009
Ireland,2015,36.8693,33.2975,23.3454,3.7697,"291,092","61,933",,544.856,354.67,214.632
Israel,2005,37.5044,28.9107,16.5658,5.7624,"142,411","21,568",6.5295,721.999,673.005,310.937
Israel,2010,41.1737,25.6541,16.8825,5.5445,"233,733","31,475",7.3464,807.424,708.34,360.378
Israel,2015,38.6805,30.6261,16.2345,5.8814,"300,471","37,258",,883.706,784.752,374.048
Italy,2005,24.5795,46.5005,17.2388,4.2494,"1,852,616","31,503",58.2812,"2,771.25","4,507.41","2,015.00"
Italy,2010,24.978,42.9354,18.764,4.3524,"2,125,058","35,578",59.3252,"2,822.15","4,626.43","1,980.40"
Italy,2015,24.9722,42.743,18.5992,4.0804,"1,832,273","30,792",,"2,856.25","4,606.02","1,826.48"
Jamaica,2004,32.6347,41.9188,18.8243,3.9126,,,,331.286,245.533,52.26
Jamaica,2005,34.2277,37.9723,22.0726,4.6164,"11,244","4,097",2.74,326.411,246.332,47.583
Jamaica,2008,30.2266,42.6324,15.7121,6.1913,,,,,,
Jamaica,2009,33.2067,37.0522,20.2747,6.1985,,,,,,
Jamaica,2010,36.3167,36.5675,21.8441,6.3706,"13,219","4,692",2.8105,294.285,260.371,71.352
Jamaica,2017,37.878,36.2537,19.2563,5.2677,"14,827","5,130",2.9208,246.972,204.08,
Japan,2016,32.9934,38.7629,18.8392,3.4675,"4,949,273","38,742",,"6,581.95","7,157.30","3,846.93"
Jordan,2017,43.2417,37.6715,18.5348,3.5996,"40,708","4,196",9.7858,"1,106.61",763.694,283.904
Kazakhstan,2017,0.7063,68.7928,10.5618,2.8785,"159,407","8,756",18.08,"1,356.50","1,768.15",626.576
Kenya,2004,62.1175,23.4095,12.9098,6.7969,,,,,,
Kenya,2006,54.1088,21.6778,15.4175,7.0498,,,,,,
Kenya,2015,36.3389,41.7637,13.074,5.2713,"64,008","1,355",,"8,168.71",,421.134
Kiribati,2001,34.3345,,,11.9881,,,,,,
Kuwait,2005,19.8313,36.2289,32.6024,4.7383,"80,798","35,490",2.2702,202.826,244.432,
Kuwait,2006,20.4152,36.2114,32.6006,3.76,,,,,,
Lao People's Dem. Rep.,2002,45.0337,18.9966,12.629,2.8252,,,,,,
Lao People's Dem. Rep.,2005,62.5326,,,2.4141,"2,946",512,5.7517,890.821,393.856,47.424
Lao People's Dem. Rep.,2010,46.4675,29.8939,16.2207,1.7098,"7,313","1,171",6.2492,916.341,434.717,118.295
Lao People's Dem. Rep.,2014,40.6428,38.5968,13.8123,2.9378,,,,870.893,600.747,132.435
Latvia,2004,16.2865,56.4456,13.4483,4.8551,,,,,,
Latvia,2010,28.489,38.3937,15.8839,5.081,"23,765","11,216",2.1189,113.691,147.375,112.567
Latvia,2015,30.0877,31.3948,22.0921,5.3372,"26,973","13,536",,117.303,117.761,85.881
Lesotho,2001,53.2269,23.7917,18.6383,9.3651,,,,,,
Lesotho,2005,43.0362,18.272,36.4439,12.0797,"1,560",800,1.9961,422.278,94.496,7.918
Lesotho,2008,35.9942,20.52,36.3836,11.3897,,,,,,
Lesotho,2018,55.9579,30.0645,7.4078,6.3609,,,,,,
Liberia,2012,30.722,34.4881,31.5635,2.7576,,,,,,43.883
Liechtenstein,2004,29.0016,42.554,13.8867,2.4333,,,,2.266,3.273,0.532
Liechtenstein,2007,30.5683,47.2487,9.0918,1.9212,,,,,,
Liechtenstein,2008,31.065,52.3861,,2.0484,,,,,,
Liechtenstein,2011,38.6201,47.4284,,2.556,,,,,,
Lithuania,2005,14.9172,50.5607,20.9942,4.8732,"26,141","7,817",3.3443,158.105,423.706,195.405
Lithuania,2010,16.7139,44.8594,23.5618,5.299,"37,130","11,886",3.1238,122.458,342.905,201.373
Lithuania,2015,16.5483,36.6706,27.8594,4.2181,"41,517","14,160",,108.038,263.242,140.629
Luxembourg,2015,31.5985,40.7101,13.1011,3.9155,"57,204","100,936",,35.92,47.027,6.896
Madagascar,2005,57.3064,18.9232,10.0866,3.8482,"5,942",324,18.3367,"3,597.73",621.173,44.948
Madagascar,2008,53.572,22.0792,15.3615,2.9104,,,,,,
Madagascar,2009,52.2821,18.2015,15.3879,3.1775,,,,"4,323.98","1,022.46",68.46
Madagascar,2012,47.3518,19.3449,15.1997,2.7322,,,,,,
Malawi,2001,45.2254,22.4952,15.2532,4.509,,,,,,
Malawi,2003,54.9243,21.1063,,3.2157,,,,,,
Malawi,2010,34.7604,24.0901,29.7982,3.5398,"6,868",453,14.5396,"3,417.40",692.157,10.296
Malawi,2013,36.736,24.4351,28.3558,5.4162,,,,,,
Malawi,2016,43.9202,28.756,23.1065,4.7486,"5,310",294,,,,
Malaysia,2004,29.5719,35.0946,33.4452,5.9239,,,,,,
Malaysia,2009,27.6763,32.8058,35.9443,5.9742,,,,,,
Malaysia,2010,28.5825,33.7167,34.454,4.9665,"255,018","9,071",28.208,"3,233.65","2,615.72","1,061.42"
Malaysia,2017,33.7563,42.0523,20.9924,4.7439,"314,707","9,951",31.1046,"3,084.63","2,744.64","1,248.93"
Maldives,2005,54.1295,,,5.0168,"1,163","3,649",0.3196,57.873,,
Maldives,2010,42.515,25.0387,7.2588,4.1175,"2,588","7,100",0.3657,42.146,,
Maldives,2016,36.3961,21.6052,20.5892,4.252,"4,414","10,319",,,,
Mali,2010,25.2806,53.7724,20.7402,3.3439,"10,679",708,15.0494,"2,018.55",758.285,81.188
Mali,2016,39.5786,37.3983,21.7444,3.0907,"14,032",780,,,,
Malta,2004,21.099,39.847,11.0174,4.4608,,,,,,
Malta,2010,21.6477,45.7106,22.8137,6.4549,"8,741","21,005",0.4143,24.985,37.163,10.84
Malta,2015,24.2748,37.5441,25.3309,5.2675,"10,563","24,703",,24.624,29.434,13.216
Marshall Islands,2002,45.4705,38.9021,14.7027,8.6699,,,,8.757,6.353,0.903
Mauritania,2010,47.5461,23.2039,18.7922,3.6043,"4,338","1,202",3.4942,531.383,110.206,14.536
Mauritania,2016,55.9035,25.8648,17.7318,2.6311,"4,747","1,104",,,,
